Map_Name,Scale,Area_Type,Litho_FMLY,Gross_Lith,Family_DV,Family_SDV,Geo_Name,Unit_Name,Unit_SYM,Main_Litho,Litho_SYM,Subordinat,Litho_Comp,Environmnt,Met_Facies,EON,ERA,Period,Age_Ma,Age_Basis,SCGR_Name,Formation,Group_Suit,Bed,Strat_SYM,Diagenesis,Genesis,Structure,Struct_Set,Tectonic,Terrane,Sub_Terane,Publisher,Pub_Date,Report_No,GRP_Label,FORM_Label,SYM_0250K,Labl_0250K,Symbol,Label,Shape_Leng,Shape_Area
Jabal Ibrahim GM-096C,"1:250,000",Arabian Shield,Igneous intrusive rocks,Plutonic rocks,Neogene gabbro and granophyre dike,Neogene mafic (dioritic-gabbroic) plutonic rock,Olivine gabbro dikes,Olivine gabbro dikes,Tgb,Olivine gabbro dikes,Tgb,Undefined,Olivine gabbro dikes,,None,Phanerozoic,Cenozoic,Neogene,~1 Ma,Inference,"Phanerozoic, Cenozoic, Neogene",Olivine gabbro dikes,,Olivine gabbro dikes,Tgb,Undefined,Rift-drift intrusive,Tihama Asir igneous complex and Red Sea dikes,Continental-oceanic rift basin,Divergent boundary,Asir terrane,Not applicable,SGS,2013-01-01,GM-096C,Neogene gabbro and granophyre dike,,Ngb,Neogene gabbro and granophyre dike,Ngb,Neogene gabbro and granophyre dike,5675.46625432,552006.666752
Jabal Ibrahim GM-096C,"1:250,000",Arabian Shield,Igneous intrusive rocks,Plutonic rocks,Neogene gabbro and granophyre dike,Neogene mafic (dioritic-gabbroic) plutonic rock,Olivine gabbro dikes,Olivine gabbro dikes,Tgb,Olivine gabbro dikes,Tgb,Undefined,Olivine gabbro dikes,,None,Phanerozoic,Cenozoic,Neogene,~1 Ma,Inference,"Phanerozoic, Cenozoic, Neogene",Olivine gabbro dikes,,Olivine gabbro dikes,Tgb,Undefined,Rift-drift intrusive,Tihama Asir igneous complex and Red Sea dikes,Continental-oceanic rift basin,Divergent boundary,Asir terrane,Not applicable,SGS,2013-01-01,GM-096C,Neogene gabbro and granophyre dike,,Ngb,Neogene gabbro and granophyre dike,Ngb,Neogene gabbro and granophyre dike,2386.02804847,285998.002027
Jabal Ibrahim GM-096C,"1:250,000",Arabian Shield,Igneous intrusive rocks,Plutonic rocks,Neogene gabbro and granophyre dike,Neogene mafic (dioritic-gabbroic) plutonic rock,Olivine gabbro dikes,Olivine gabbro dikes,Tgb,Olivine gabbro dikes,Tgb,Undefined,Olivine gabbro dikes,,None,Phanerozoic,Cenozoic,Neogene,~1 Ma,Inference,"Phanerozoic, Cenozoic, Neogene",Olivine gabbro dikes,,Olivine gabbro dikes,Tgb,Undefined,Rift-drift intrusive,Tihama Asir igneous complex and Red Sea dikes,Continental-oceanic rift basin,Divergent boundary,Asir terrane,Not applicable,SGS,2013-01-01,GM-096C,Neogene gabbro and granophyre dike,,Ngb,Neogene gabbro and granophyre dike,Ngb,Neogene gabbro and granophyre dike,19228.4768034,2183155.55857
Jabal Ibrahim GM-096C,"1:250,000",Arabian Shield,Igneous intrusive rocks,Plutonic rocks,Neogene gabbro and granophyre dike,Neogene mafic (dioritic-gabbroic) plutonic rock,Olivine gabbro dikes,Olivine gabbro dikes,Tgb,Olivine gabbro dikes,Tgb,Undefined,Olivine gabbro dikes,,None,Phanerozoic,Cenozoic,Neogene,~1 Ma,Inference,"Phanerozoic, Cenozoic, Neogene",Olivine gabbro dikes,,Olivine gabbro dikes,Tgb,Undefined,Rift-drift intrusive,Tihama Asir igneous complex and Red Sea dikes,Continental-oceanic rift basin,Divergent boundary,Asir terrane,Not applicable,SGS,2013-01-01,GM-096C,Neogene gabbro and granophyre dike,,Ngb,Neogene gabbro and granophyre dike,Ngb,Neogene gabbro and granophyre dike,7988.83682699,944074.69226
Jabal Ibrahim GM-096C,"1:250,000",Arabian Shield,Igneous intrusive rocks,Plutonic rocks,Neogene gabbro and granophyre dike,Neogene mafic (dioritic-gabbroic) plutonic rock,Olivine gabbro dikes,Olivine gabbro dikes,Tgb,Olivine gabbro dikes,Tgb,Undefined,Olivine gabbro dikes,,None,Phanerozoic,Cenozoic,Neogene,~1 Ma,Inference,"Phanerozoic, Cenozoic, Neogene",Olivine gabbro dikes,,Olivine gabbro dikes,Tgb,Undefined,Rift-drift intrusive,Tihama Asir igneous complex and Red Sea dikes,Continental-oceanic rift basin,Divergent boundary,Asir terrane,Not applicable,SGS,2013-01-01,GM-096C,Neogene gabbro and granophyre dike,,Ngb,Neogene gabbro and granophyre dike,Ngb,Neogene gabbro and granophyre dike,9432.78929038,1212269.51871
Jabal Ibrahim GM-096C,"1:250,000",Arabian Shield,Igneous intrusive rocks,Plutonic rocks,Neogene gabbro and granophyre dike,Neogene mafic (dioritic-gabbroic) plutonic rock,Olivine gabbro dikes,Olivine gabbro dikes,Tgb,Olivine gabbro dikes,Tgb,Undefined,Olivine gabbro dikes,,None,Phanerozoic,Cenozoic,Neogene,~1 Ma,Inference,"Phanerozoic, Cenozoic, Neogene",Olivine gabbro dikes,,Olivine gabbro dikes,Tgb,Undefined,Rift-drift intrusive,Tihama Asir igneous complex and Red Sea dikes,Continental-oceanic rift basin,Divergent boundary,Asir terrane,Not applicable,SGS,2013-01-01,GM-096C,Neogene gabbro and granophyre dike,,Ngb,Neogene gabbro and granophyre dike,Ngb,Neogene gabbro and granophyre dike,4608.90129197,379956.92459
Jabal Ibrahim GM-096C,"1:250,000",Arabian Shield,Igneous intrusive rocks,Plutonic rocks,Neogene gabbro and granophyre dike,Neogene mafic (dioritic-gabbroic) plutonic rock,Olivine gabbro dikes,Olivine gabbro dikes,Tgb,Olivine gabbro dikes,Tgb,Undefined,Olivine gabbro dikes,,None,Phanerozoic,Cenozoic,Neogene,~1 Ma,Inference,"Phanerozoic, Cenozoic, Neogene",Olivine gabbro dikes,,Olivine gabbro dikes,Tgb,Undefined,Rift-drift intrusive,Tihama Asir igneous complex and Red Sea dikes,Continental-oceanic rift basin,Divergent boundary,Asir terrane,Not applicable,SGS,2013-01-01,GM-096C,Neogene gabbro and granophyre dike,,Ngb,Neogene gabbro and granophyre dike,Ngb,Neogene gabbro and granophyre dike,5190.16735774,451995.122245
Jabal Ibrahim GM-096C,"1:250,000",Arabian Shield,Igneous intrusive rocks,Plutonic rocks,Neogene gabbro and granophyre dike,Neogene mafic (dioritic-gabbroic) plutonic rock,Olivine gabbro dikes,Olivine gabbro dikes,Tgb,Olivine gabbro dikes,Tgb,Undefined,Olivine gabbro dikes,,None,Phanerozoic,Cenozoic,Neogene,~1 Ma,Inference,"Phanerozoic, Cenozoic, Neogene",Olivine gabbro dikes,,Olivine gabbro dikes,Tgb,Undefined,Rift-drift intrusive,Tihama Asir igneous complex and Red Sea dikes,Continental-oceanic rift basin,Divergent boundary,Asir terrane,Not applicable,SGS,2013-01-01,GM-096C,Neogene gabbro and granophyre dike,,Ngb,Neogene gabbro and granophyre dike,Ngb,Neogene gabbro and granophyre dike,2196.43562483,166040.050374
Jabal Ibrahim GM-096C,"1:250,000",Arabian Shield,Igneous intrusive rocks,Plutonic rocks,Neogene gabbro and granophyre dike,Neogene mafic (dioritic-gabbroic) plutonic rock,Olivine gabbro dikes,Olivine gabbro dikes,Tgb,Olivine gabbro dikes,Tgb,Undefined,Olivine gabbro dikes,,None,Phanerozoic,Cenozoic,Neogene,~1 Ma,Inference,"Phanerozoic, Cenozoic, Neogene",Olivine gabbro dikes,,Olivine gabbro dikes,Tgb,Undefined,Rift-drift intrusive,Tihama Asir igneous complex and Red Sea dikes,Continental-oceanic rift basin,Divergent boundary,Asir terrane,Not applicable,SGS,2013-01-01,GM-096C,Neogene gabbro and granophyre dike,,Ngb,Neogene gabbro and granophyre dike,Ngb,Neogene gabbro and granophyre dike,1552.6703852,113401.799475
Jabal Ibrahim GM-096C,"1:250,000",Arabian Shield,Igneous intrusive rocks,Plutonic rocks,Neogene gabbro and granophyre dike,Neogene mafic (dioritic-gabbroic) plutonic rock,Gumayqah complex,Gumayqah complex,Tgg,"Thick (10-100-M-Wide), Widely Spaced dikes in Diffuse Northwest-Trending Swarm composed of gray, fine-Tocoarse-grained gabbro, monzogabbro, and diabase . Characteristic ââDual-Ribââ Morphology produced By Resistant fine-grained margins and Easily",Tgg,Undefined,"Thick (10-100-M-Wide), Widely Spaced dikes in Diffuse Northwest-Trending Swarm composed of gray, fine-Tocoarse-grained gabbro, monzogabbro, and diabase . Characteristic ââDual-Ribââ Morphology produced By Resistant fine-grained margins and Easily",,None,Phanerozoic,Cenozoic,Neogene,~1 Ma,Inference,"Phanerozoic, Cenozoic, Neogene",Gumayqah complex,,"Thick (10-100-M-Wide), Widely Spaced dikes in Diffuse Northwest-Trending Swarm composed of gray, fine-Tocoarse-grained gabbro, monzogabbro, and diabase . Characteristic ââDual-Ribââ Morphology produced By Resistant fine-grained margins and Easily",Tgg,Undefined,Rift-drift intrusive,Tihama Asir igneous complex and Red Sea dikes,Continental-oceanic rift basin,Divergent boundary,Asir terrane,Not applicable,SGS,2013-01-01,GM-096C,Neogene gabbro and granophyre dike,,Ngb,Neogene gabbro and granophyre dike,Ngb,Neogene gabbro and granophyre dike,1065.70752682,6898.17230537
